コード,銘柄名,市場・商品区分,__code
2503,キリンホールディングス,プライム（内国株式）,2503
250A,シマダヤ,スタンダード（内国株式）,250A
2531,宝ホールディングス,プライム（内国株式）,2531
2533,オエノンホールディングス,プライム（内国株式）,2533
253A,ＥＴＳグループ,スタンダード（内国株式）,253A
254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,254A
255A,ジーエルテクノホールディングス,スタンダード（内国株式）,255A
256A,飛島ホールディングス,プライム（内国株式）,256A
2573,北海道コカ・コーラボトリング,スタンダード（内国株式）,2573
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,2579
2585,ライフドリンク　カンパニー,プライム（内国株式）,2585
2586,フルッタフルッタ,グロース（内国株式）,2586
2587,サントリービバレッジ＆フード,プライム（内国株式）,2587
2588,プレミアムウォーターホールディングス,スタンダード（内国株式）,2588
2590,ダイドーグループホールディングス,プライム（内国株式）,2590
2593,伊藤園,プライム（内国株式）,2593
2594,キーコーヒー,プライム（内国株式）,2594
2597,ユニカフェ,スタンダード（内国株式）,2597
2602,日清オイリオグループ,プライム（内国株式）,2602
2607,不二製油,プライム（内国株式）,2607
2612,かどや製油,スタンダード（内国株式）,2612
2613,Ｊ－オイルミルズ,プライム（内国株式）,2613
261A,日水コン,スタンダード（内国株式）,261A
262A,インターメスティック,プライム（内国株式）,262A
264A,Ｓｃｈｏｏ,グロース（内国株式）,264A
2652,まんだらけ,スタンダード（内国株式）,2652
2653,イオン九州,スタンダード（内国株式）,2653
2654,アスモ,スタンダード（内国株式）,2654
2656,ベクターホールディングス,スタンダード（内国株式）,2656
2659,サンエー,プライム（内国株式）,2659
265A,Ｈｍｃｏｍｍ,グロース（内国株式）,265A
2664,カワチ薬品,プライム（内国株式）,2664
2666,オートウェーブ,スタンダード（内国株式）,2666
2667,イメージ　ワン,スタンダード（内国株式）,2667
2668,タビオ,スタンダード（内国株式）,2668
2669,カネ美食品,スタンダード（内国株式）,2669
2670,エービーシー・マート,プライム（内国株式）,2670
2673,夢みつけ隊,スタンダード（内国株式）,2673
2674,ハードオフコーポレーション,プライム（内国株式）,2674
2676,高千穂交易,プライム（内国株式）,2676
2678,アスクル,プライム（内国株式）,2678
2681,ゲオホールディングス,プライム（内国株式）,2681
2683,魚喜,スタンダード（内国株式）,2683
2685,アンドエスティＨＤ,プライム（内国株式）,2685
2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,2687
2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,2689
268A,リガク・ホールディングス,プライム（内国株式）,268A
2693,ＹＫＴ,スタンダード（内国株式）,2693
2694,焼肉坂井ホールディングス,スタンダード（内国株式）,2694
2695,くら寿司,プライム（内国株式）,2695
2698,キャンドゥ,スタンダード（内国株式）,2698
269A,Ｓａｐｅｅｔ,グロース（内国株式）,269A
2700,木徳神糧,スタンダード（内国株式）,2700
2702,日本マクドナルドホールディングス,スタンダード（内国株式）,2702
2705,大戸屋ホールディングス,スタンダード（内国株式）,2705
2708,久世,スタンダード（内国株式）,2708
2721,ジェイホールディングス,スタンダード（内国株式）,2721
2722,ＩＫホールディングス,スタンダード（内国株式）,2722
2726,パルグループホールディングス,プライム（内国株式）,2726
2730,エディオン,プライム（内国株式）,2730
2733,あらた,プライム（内国株式）,2733
2734,サーラコーポレーション,プライム（内国株式）,2734
2735,ワッツ,スタンダード（内国株式）,2735
2736,フェスタリアホールディングス,スタンダード（内国株式）,2736
2737,トーメンデバイス,プライム（内国株式）,2737
2742,ハローズ,プライム（内国株式）,2742
2747,北雄ラッキー,スタンダード（内国株式）,2747
2749,ＪＰホールディングス,プライム（内国株式）,2749
274A,ガーデン,スタンダード（内国株式）,274A
2750,石光商事,スタンダード（内国株式）,2750
2751,テンポスホールディングス,スタンダード（内国株式）,2751
2752,フジオフードグループ本社,プライム（内国株式）,2752
2753,あみやき亭,プライム（内国株式）,2753
2760,東京エレクトロン　デバイス,プライム（内国株式）,2760
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,2762
2764,ひらまつ,スタンダード（内国株式）,2764
2767,円谷フィールズホールディングス,プライム（内国株式）,2767
2768,双日,プライム（内国株式）,2768
2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,2769
276A,ククレブ・アドバイザーズ,グロース（内国株式）,276A
2776,新都ホールディングス,スタンダード（内国株式）,2776
2778,パレモ・ホールディングス,スタンダード（内国株式）,2778
277A,グロービング,プライム（内国株式）,277A
2780,コメ兵ホールディングス,スタンダード（内国株式）,2780
2782,セリア,スタンダード（内国株式）,2782
2784,アルフレッサ　ホールディングス,プライム（内国株式）,2784
2788,アップルインターナショナル,スタンダード（内国株式）,2788
2789,カルラ,スタンダード（内国株式）,2789
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,278A
2790,ナフコ,スタンダード（内国株式）,2790
2791,大黒天物産,プライム（内国株式）,2791
2792,ハニーズホールディングス,プライム（内国株式）,2792
2795,日本プリメックス,スタンダード（内国株式）,2795
2796,ファーマライズホールディングス,スタンダード（内国株式）,2796
2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,2798
2801,キッコーマン,プライム（内国株式）,2801
2802,味の素,プライム（内国株式）,2802
2804,ブルドックソース,プライム（内国株式）,2804
2805,ヱスビー食品,スタンダード（内国株式）,2805
2806,ユタカフーズ,スタンダード（内国株式）,2806
2809,キユーピー,プライム（内国株式）,2809
280A,ＴＭＨ,グロース（内国株式）,280A
2810,ハウス食品グループ本社,プライム（内国株式）,2810
2811,カゴメ,プライム（内国株式）,2811
2813,和弘食品,スタンダード（内国株式）,2813
2814,佐藤食品工業,スタンダード（内国株式）,2814
2815,アリアケジャパン,プライム（内国株式）,2815
2816,ダイショー,スタンダード（内国株式）,2816
2818,ピエトロ,スタンダード（内国株式）,2818
2819,エバラ食品工業,スタンダード（内国株式）,2819
281A,インフォメティス,グロース（内国株式）,281A
2820,やまみ,スタンダード（内国株式）,2820
2831,はごろもフーズ,スタンダード（内国株式）,2831
285A,キオクシアホールディングス,プライム（内国株式）,285A
286A,ユカリア,グロース（内国株式）,286A
2871,ニチレイ,プライム（内国株式）,2871
2872,セイヒョー,スタンダード（内国株式）,2872
2874,横浜冷凍,プライム（内国株式）,2874
2875,東洋水産,プライム（内国株式）,2875
2876,デルソーレ,スタンダード（内国株式）,2876
2877,日東ベスト,スタンダード（内国株式）,2877
287A,黒田グループ,スタンダード（内国株式）,287A
2882,イートアンドホールディングス,プライム（内国株式）,2882
2883,大冷,スタンダード（内国株式）,2883
2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,2884
288A,ラクサス・テクノロジーズ,グロース（内国株式）,288A
2892,日本食品化工,スタンダード（内国株式）,2892
2894,石井食品,スタンダード（内国株式）,2894
2897,日清食品ホールディングス,プライム（内国株式）,2897
